Gene symbol	function	property	product	feature_id	patric_id	identity	e_value
fig|562.19188.peg.5142	[Formylmethyl]Trimethyl-Ammonium, N,N,N-Trimethylammonium Acetaldehyde	Drug Target	4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19)	PATRIC.562.19188.NSEE01000070.CDS.18758.20182.rev	fig|562.19188.peg.5142	99	1e-278
fig|562.19188.peg.1027		Antibiotic Resistance	Multidrug efflux pump MdtM (of MFS type)	PATRIC.562.19188.NSEE01000049.CDS.1973.3205.fwd	fig|562.19188.peg.1027		
fig|562.19188.peg.3162	the putative lipid iv exporter (yhjd) family.	Transporter	Inner membrane protein YhjD	PATRIC.562.19188.NSEE01000120.CDS.6153.7166.fwd	fig|562.19188.peg.3162	99	1e-190
fig|562.19188.peg.1657		Virulence Factor	iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules	PATRIC.562.19188.NSEE01000187.CDS.21918.31409.fwd	fig|562.19188.peg.1657	99	0.0
fig|562.19188.peg.3988	the resistance to homoserine/threonine (rhtb) family.	Transporter	Homoserine/homoserine lactone efflux protein	PATRIC.562.19188.NSEE01000156.CDS.5663.6283.rev	fig|562.19188.peg.3988	99	1e-111
fig|562.19188.peg.979	2-(N-Morpholino)-Ethanesulfonic Acid	Drug Target	O-acetyl-ADP-ribose deacetylase	PATRIC.562.19188.NSEE01000413.CDS.62682.63215.rev	fig|562.19188.peg.979	100	3e-98
fig|562.19188.peg.5257	the major facilitator superfamily (mfs).	Transporter	D-galactarate transporter @ D-glucarate transporter	PATRIC.562.19188.NSEE01000219.CDS.14620.15954.fwd	fig|562.19188.peg.5257	99	1e-261
fig|562.19188.peg.5426	the duf2919 (pf11143) family.	Transporter	Inner membrane protein YfeZ	PATRIC.562.19188.NSEE01000102.CDS.30394.30843.rev	fig|562.19188.peg.5426	97	9e-82
fig|562.19188.peg.1349	Guanosine-5'-Diphosphate	Drug Target	GDP-mannose mannosyl hydrolase	PATRIC.562.19188.NSEE01000092.CDS.3738.4241.rev	fig|562.19188.peg.1349	97	4e-81
fig|562.19188.peg.262	the drug/metabolite transporter (dmt) superfamily.	Transporter	Spermidine export protein MdtJ	PATRIC.562.19188.NSEE01000240.CDS.8263.8628.rev	fig|562.19188.peg.262	100	9e-61
fig|562.19188.peg.3365	the atp-binding cassette (abc) superfamily.	Transporter	Nickel ABC transporter, permease protein NikB (TC 3.A.1.5.3)	PATRIC.562.19188.NSEE01000129.CDS.29316.30260.fwd	fig|562.19188.peg.3365	100	1e-180
fig|562.19188.peg.1007		Virulence Factor	SbmA protein	PATRIC.562.19188.NSEE01000061.CDS.4325.5545.rev	fig|562.19188.peg.1007	99	1e-238
fig|562.19188.peg.2832	the hydroxy/aromatic amino acid permease (haaap) family.	Transporter	Tyrosine-specific transport protein	PATRIC.562.19188.NSEE01000190.CDS.3115.4257.fwd	fig|562.19188.peg.2832	99	1e-215
fig|562.19188.peg.2473	the major facilitator superfamily (mfs).	Transporter	UPF0226 protein YfcJ	PATRIC.562.19188.NSEE01000130.CDS.31805.32983.rev	fig|562.19188.peg.2473	99	1e-224
fig|562.19188.peg.1465	S-Phosphocysteine	Drug Target	2-iminobutanoate/2-iminopropanoate deaminase RidA/TdcF (EC 3.5.99.10)	PATRIC.562.19188.NSEE01000287.CDS.201.587.rev	fig|562.19188.peg.1465	100	6e-66
fig|562.19188.peg.5480	the h(+) or na(+)-translocating nadh dehydrogenase (ndh) family.	Transporter	Hydrogenase-4 component F	PATRIC.562.19188.NSEE01000102.CDS.80046.80990.fwd	fig|562.19188.peg.5480	98	1e-169
fig|562.19188.peg.3111	the lysine exporter (lyso) family.	Transporter	Lysine exporter LysO	PATRIC.562.19188.NSEE01000202.CDS.6382.7281.rev	fig|562.19188.peg.3111	100	1e-163
fig|562.19188.peg.983		Virulence Factor	Minor curlin subunit CsgB, nucleation component of curlin monomers	PATRIC.562.19188.NSEE01000413.CDS.64629.65111.rev	fig|562.19188.peg.983	82	2e-65
fig|562.19188.peg.5161	the telurite-resistance/dicarboxylate transporter (tdt) family.	Transporter	Tellurite resistance protein TehA	PATRIC.562.19188.NSEE01000070.CDS.34196.35188.rev	fig|562.19188.peg.5161	99	1e-190
fig|562.19188.peg.3913	Formic Acid	Drug Target	2-dehydrotetronate isomerase (EC 5.3.1.35)	PATRIC.562.19188.NSEE01000222.CDS.24918.25694.rev	fig|562.19188.peg.3913	98	1e-150
fig|562.19188.peg.1727		Virulence Factor	Outer membrane porin OmpC	PATRIC.562.19188.NSEE01000054.CDS.60041.61132.fwd	fig|562.19188.peg.1727	91	1e-202
fig|562.19188.peg.2213		Virulence Factor	Outer membrane protein A precursor	PATRIC.562.19188.NSEE01000136.CDS.27986.29095.fwd	fig|562.19188.peg.2213	98	1e-216
fig|562.19188.peg.436	the major facilitator superfamily (mfs).	Transporter	Galactose-proton symport	PATRIC.562.19188.NSEE01000247.CDS.191.1585.fwd	fig|562.19188.peg.436	100	1e-268
fig|562.19188.peg.4807	NAPHTHALEN-2-YL-3-ALANINE	Drug Target	Oligopeptide ABC transporter, substrate-binding protein OppA (TC 3.A.1.5.1)	PATRIC.562.19188.NSEE01000160.CDS.17700.19376.rev	fig|562.19188.peg.4807	85	1e-289
fig|562.19188.peg.1910		Drug Target	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	PATRIC.562.19188.NSEE01000138.CDS.3176.5710.fwd	fig|562.19188.peg.1910	99	0.0
fig|562.19188.peg.144	(E)-2-Fluoro-P-Hydroxycinnamate;Benzoic Acid	Drug Target	Tautomerase PptA	PATRIC.562.19188.NSEE01000109.CDS.1674.1901.fwd	fig|562.19188.peg.144	100	2e-36
fig|562.19188.peg.4432	the general bacterial porin (gbp) family.	Transporter	Outer membrane porin OmpN	PATRIC.562.19188.NSEE01000157.CDS.6063.7196.fwd	fig|562.19188.peg.4432	99	1e-226
fig|562.19188.peg.3847	the rz/rz1 spanin1 (rz(1)) family.	Transporter	Phage endopeptidase Rz	PATRIC.562.19188.NSEE01000123.CDS.11925.12362.fwd	fig|562.19188.peg.3847	89	6e-70
fig|562.19188.peg.4864	the monovalent cation:proton antiporter-1 (cpa1) family.	Transporter	K(+)/H(+) antiporter NhaP2	PATRIC.562.19188.NSEE01000160.CDS.76426.78162.fwd	fig|562.19188.peg.4864	98	0.0
fig|562.19188.peg.1693		Antibiotic Resistance	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.43) @ Polymyxin resistance protein PmrK	PATRIC.562.19188.NSEE01000054.CDS.11610.13262.rev	fig|562.19188.peg.1693		
fig|562.19188.peg.290		Virulence Factor	hypothetical protein	PATRIC.562.19188.NSEE01000057.CDS.8350.9834.fwd	fig|562.19188.peg.290	99	1e-294
fig|562.19188.peg.4537	(Hydroxyethyloxy)Tri(Ethyloxy)Octane	Drug Target	Outer membrane protein X precursor	PATRIC.562.19188.NSEE01000210.CDS.6793.7308.rev	fig|562.19188.peg.4537	100	5e-97
fig|562.19188.peg.4929	the membrane fusion protein (mfp) family.	Transporter	Multidrug efflux system AcrAB-TolC, membrane fusion component AcrA	PATRIC.562.19188.NSEE01000242.CDS.17228.18421.rev	fig|562.19188.peg.4929	100	1e-222
fig|562.19188.peg.4928		Antibiotic Resistance	Multidrug efflux system AcrAB-TolC, inner-membrane proton/drug antiporter AcrB (RND type)	PATRIC.562.19188.NSEE01000242.CDS.14056.17205.rev	fig|562.19188.peg.4928	92	0.0
fig|562.19188.peg.5694	the nicotinamide ribonucleoside (nr) uptake permease (pnuc) family.	Transporter	NadR transcriptional regulator / Nicotinamide-nucleotide adenylyltransferase, NadR family (EC 2.7.7.1) / Ribosylnicotinamide kinase (EC 2.7.1.22)	PATRIC.562.19188.NSEE01000170.CDS.18764.19996.rev	fig|562.19188.peg.5694	94	1e-232
fig|562.19188.peg.2520	the voltage-gated k(+) channel -subunit (kv) family.	Transporter	Tas protein, an NADP(H)-dependent aldo-keto reductase	PATRIC.562.19188.NSEE01000193.CDS.15692.16732.rev	fig|562.19188.peg.2520	99	1e-200
fig|562.19188.peg.4221	the type iv (conjugal dna-protein transfer or virb) secretory pathway (ivsp) family.	Transporter	Inner membrane protein of type IV secretion of T-DNA complex, TonB-like, VirB10	PATRIC.562.19188.NSEE01000211.CDS.11022.12182.rev	fig|562.19188.peg.4221	99	1e-218
fig|562.19188.peg.4026	Riboflavin Monophosphate	Drug Target	Flavodoxin 1	PATRIC.562.19188.NSEE01000079.CDS.15380.15910.fwd	fig|562.19188.peg.4026	100	1e-102
fig|562.19188.peg.4125		Virulence Factor	tRNA dimethylallyltransferase (EC 2.5.1.75)	PATRIC.562.19188.NSEE01000243.CDS.9888.10838.rev	fig|562.19188.peg.4125	100	1e-180
fig|562.19188.peg.5243	the pts mannose-fructose-sorbose (man) family.	Transporter	PTS system, galactosamine-specific IIB component	PATRIC.562.19188.NSEE01000219.CDS.2577.3053.rev	fig|562.19188.peg.5243	98	5e-85
fig|562.19188.peg.1286	the outer membrane protein yaio (yaio) family.	Transporter	hypothetical protein	PATRIC.562.19188.NSEE01000377.CDS.54777.55550.rev	fig|562.19188.peg.1286	99	1e-152
fig|562.19188.peg.5585	the atp-binding cassette (abc) superfamily.	Transporter	D,D-dipeptide ABC transporter, ATP-binding protein DdpD	PATRIC.562.19188.NSEE01000095.CDS.3602.4588.rev	fig|562.19188.peg.5585	99	1e-189
fig|562.19188.peg.2931	the atp-binding cassette (abc) superfamily.	Transporter	ABC transporter, ATP-binding protein YnjD	PATRIC.562.19188.NSEE01000122.CDS.26468.27121.rev	fig|562.19188.peg.2931	99	1e-119
fig|562.19188.peg.271		Virulence Factor	Protein FimF (regulates length and adhesion of type 1 fimbriae)	PATRIC.562.19188.NSEE01000100.CDS.4927.5457.fwd	fig|562.19188.peg.271	97	2e-94
fig|562.19188.peg.4397		Virulence Factor	Thioredoxin 2	PATRIC.562.19188.NSEE01000218.CDS.18799.19218.fwd	fig|562.19188.peg.4397	100	3e-79
fig|562.19188.peg.1656		Virulence Factor	iron aquisition yersiniabactin synthesis enzyme (Irp2) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules	PATRIC.562.19188.NSEE01000187.CDS.15723.21830.fwd	fig|562.19188.peg.1656	99	0.0
fig|562.19188.peg.1937		Drug Target	Undecaprenyl diphosphate synthase (EC 2.5.1.31)	PATRIC.562.19188.NSEE01000138.CDS.32512.33270.fwd	fig|562.19188.peg.1937	100	1e-145
fig|562.19188.peg.1645	the yedz (yedz) family.	Transporter	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ	PATRIC.562.19188.NSEE01000187.CDS.2450.3085.fwd	fig|562.19188.peg.1645	97	1e-116
fig|562.19188.peg.931		Drug Target	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)	PATRIC.562.19188.NSEE01000413.CDS.19243.20196.rev	fig|562.19188.peg.931	100	1e-180
fig|562.19188.peg.2101		Antibiotic Resistance	Redox-sensitive transcriptional activator SoxR	PATRIC.562.19188.NSEE01000161.CDS.8643.9107.fwd	fig|562.19188.peg.2101	100	2e-84
fig|562.19188.peg.573	the atp-binding cassette (abc) superfamily.	Transporter	Galactofuranose ABC transporter, permease protein 2	PATRIC.562.19188.NSEE01000435.CDS.16015.17010.rev	fig|562.19188.peg.573	99	1e-183
fig|562.19188.peg.332		Antibiotic Resistance	Uncharacterized transporter MdtD of major facilitator superfamily (MFS)	PATRIC.562.19188.NSEE01000045.CDS.5489.6904.rev	fig|562.19188.peg.332	99	1e-266
fig|562.19188.peg.83	the tellurium ion resistance (terc) family.	Transporter	Alkaline induced inner membrane protein Alx	PATRIC.562.19188.NSEE01000107.CDS.3577.4542.fwd	fig|562.19188.peg.83	100	1e-182
fig|562.19188.peg.1131		Virulence Factor	Thioredoxin	PATRIC.562.19188.NSEE01000191.CDS.40541.40870.rev	fig|562.19188.peg.1131	100	8e-58
fig|562.19188.peg.233		Virulence Factor	Lipid A phosphoethanolamine transferase EptA/PmrC (EC 2.7.8.43)	PATRIC.562.19188.NSEE01000104.CDS.6987.8630.rev	fig|562.19188.peg.233	82	1e-281
fig|562.19188.peg.1743	the atp-binding cassette (abc) superfamily.	Transporter	ABC transporter involved in cytochrome c biogenesis, CcmB subunit	PATRIC.562.19188.NSEE01000054.CDS.75188.75850.fwd	fig|562.19188.peg.1743	100	1e-119
fig|562.19188.peg.4329	the general secretory pathway (sec) family.	Transporter	Signal recognition particle protein Ffh	PATRIC.562.19188.NSEE01000060.CDS.15480.16841.rev	fig|562.19188.peg.4329	100	1e-256
fig|562.19188.peg.908	Beta-D-Glucose	Drug Target	Aspartate ammonia-lyase (EC 4.3.1.1)	PATRIC.562.19188.NSEE01000255.CDS.5551.6987.rev	fig|562.19188.peg.908	100	1e-278
fig|562.19188.peg.5482		Drug Target	DNA topoisomerase IV subunit A (EC 5.99.1.3)	PATRIC.562.19188.NSEE01000270.CDS.755.3013.rev	fig|562.19188.peg.5482	100	0.0
fig|562.19188.peg.970		Antibiotic Resistance	Multidrug resistance protein MdtG	PATRIC.562.19188.NSEE01000413.CDS.53545.54771.fwd	fig|562.19188.peg.970	100	1e-232
fig|562.19188.peg.1217	the prokaryotic molybdopterin-containing oxidoreductase (pmo) family.	Transporter	Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase	PATRIC.562.19188.NSEE01000035.CDS.2.2200.rev	fig|562.19188.peg.1217	98	0.0
fig|562.19188.peg.3845	the p21 holin s (p21 holin) family.	Transporter	Phage holin/antiholin component S	PATRIC.562.19188.NSEE01000123.CDS.11216.11431.fwd	fig|562.19188.peg.3845	100	2e-34
fig|562.19188.peg.3524	the amino acid-polyamine-organocation (apc) family.	Transporter	Fructoselysine/psicoselysine transporter FrlA	PATRIC.562.19188.NSEE01000256.CDS.80041.81429.rev	fig|562.19188.peg.3524	100	1e-258
fig|562.19188.peg.533	the pts mannose-fructose-sorbose (man) family.	Transporter	PTS system, mannose-specific IID component	PATRIC.562.19188.NSEE01000088.CDS.590.1441.rev	fig|562.19188.peg.533	100	1e-162
fig|562.19188.peg.4788		Virulence Factor	Tryptophan synthase beta chain (EC 4.2.1.20)	PATRIC.562.19188.NSEE01000160.CDS.2099.3292.fwd	fig|562.19188.peg.4788	99	1e-232
fig|562.19188.peg.1189	Alpha-L-Arabinose;Beta-L-Arabinose;Alpha-D-Fucose;Beta-D-Fucose	Drug Target	L-arabinose ABC transporter, substrate-binding protein AraF	PATRIC.562.19188.NSEE01000040.CDS.466.1455.fwd	fig|562.19188.peg.1189	100	1e-189
fig|562.19188.peg.2597	the atp-binding cassette (abc) superfamily.	Transporter	Substrate-specific component STY3230 of queuosine-regulated ECF transporter	PATRIC.562.19188.NSEE01000063.CDS.24392.24970.rev	fig|562.19188.peg.2597	91	1e-93
fig|562.19188.peg.1831	the atp-binding cassette (abc) superfamily.	Transporter	Osmoprotectant ABC transporter ATP-binding subunit YehX	PATRIC.562.19188.NSEE01000054.CDS.159300.160226.fwd	fig|562.19188.peg.1831	98	1e-171
fig|562.19188.peg.196	the atp-binding cassette (abc) superfamily.	Transporter	Predicted sugar ABC transport system, ATP-binding protein YphE	PATRIC.562.19188.NSEE01000131.CDS.46651.48162.rev	fig|562.19188.peg.196	99	1e-285
fig|562.19188.peg.2511		Virulence Factor	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17)	PATRIC.562.19188.NSEE01000193.CDS.4204.5040.fwd	fig|562.19188.peg.2511	98	1e-164
fig|562.19188.peg.4378		Drug Target	Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)	PATRIC.562.19188.NSEE01000218.CDS.1239.1970.rev	fig|562.19188.peg.4378	100	1e-135
fig|562.19188.peg.1189	the atp-binding cassette (abc) superfamily.	Transporter	L-arabinose ABC transporter, substrate-binding protein AraF	PATRIC.562.19188.NSEE01000040.CDS.466.1455.fwd	fig|562.19188.peg.1189	100	1e-189
fig|562.19188.peg.134		Virulence Factor	Transcriptional activator GadE	PATRIC.562.19188.NSEE01000142.CDS.6465.6992.fwd	fig|562.19188.peg.134	100	8e-96
fig|562.19188.peg.1176		Virulence Factor	Bdm protein	PATRIC.562.19188.NSEE01000135.CDS.4921.5136.fwd	fig|562.19188.peg.1176	88	3e-29
fig|562.19188.peg.334	the resistance-nodulation-cell division (rnd) superfamily.	Transporter	Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtB (RND type)	PATRIC.562.19188.NSEE01000045.CDS.9983.12334.rev	fig|562.19188.peg.334	100	0.0
fig|562.19188.peg.5606		Antibiotic Resistance	Multidrug efflux pump EmrD (of MFS type)	PATRIC.562.19188.NSEE01000277.CDS.7529.8713.fwd	fig|562.19188.peg.5606	99	1e-226
fig|562.19188.peg.3306	the pts glucitol (gut) family.	Transporter	PTS system, glucitol/sorbitol-specific IIC component	PATRIC.562.19188.NSEE01000179.CDS.32322.32885.rev	fig|562.19188.peg.3306	100	1e-106
fig|562.19188.peg.5146	the atp-binding cassette (abc) superfamily.	Transporter	ABC transporter periplasmic-binding protein YdcS	PATRIC.562.19188.NSEE01000070.CDS.22961.24106.rev	fig|562.19188.peg.5146	99	1e-233
fig|562.19188.peg.1338	the atp-binding cassette (abc) superfamily.	Transporter	Amino acid ABC transporter, permease protein 2, YhdY	PATRIC.562.19188.NSEE01000025.CDS.1554.2657.rev	fig|562.19188.peg.1338	98	1e-214
fig|562.19188.peg.4048	the rhomboid protease (rhomboid) family.	Transporter	YVTN beta-propeller repeat-containing protein	PATRIC.562.19188.NSEE01000079.CDS.37311.39188.rev	fig|562.19188.peg.4048	92	0.0
fig|562.19188.peg.3454		Virulence Factor	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	PATRIC.562.19188.NSEE01000256.CDS.3278.4381.fwd	fig|562.19188.peg.3454	95	1e-206
fig|562.19188.peg.1007	the peptide uptake permease (pup) family.	Transporter	SbmA protein	PATRIC.562.19188.NSEE01000061.CDS.4325.5545.rev	fig|562.19188.peg.1007	99	1e-238
fig|562.19188.peg.272		Virulence Factor	Protein FimG (regulates length and adhesion of type 1 fimbriae)	PATRIC.562.19188.NSEE01000100.CDS.5470.5973.fwd	fig|562.19188.peg.272	97	2e-87
fig|562.19188.peg.5244	Phosphoglycolohydroxamic Acid	Drug Target	D-tagatose-1,6-bisphosphate aldolase subunit KbaY (EC 4.1.2.40)	PATRIC.562.19188.NSEE01000219.CDS.3220.4080.rev	fig|562.19188.peg.5244	100	1e-162
fig|562.19188.peg.3798		Drug Target	Protease II (EC 3.4.21.83)	PATRIC.562.19188.NSEE01000150.CDS.21464.23524.rev	fig|562.19188.peg.3798	99	0.0
fig|562.19188.peg.1234		Virulence Factor	N,N'-diacetylchitobiose-specific 6-phospho-beta-glucosidase (EC 3.2.1.86)	PATRIC.562.19188.NSEE01000401.CDS.2135.3487.rev	fig|562.19188.peg.1234	91	1e-245
fig|562.19188.peg.304		Virulence Factor	Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-) / Dihydropteridine reductase (EC 1.5.1.34)	PATRIC.562.19188.NSEE01000096.CDS.2699.3352.fwd	fig|562.19188.peg.304	88	1e-108
fig|562.19188.peg.4932		Antibiotic Resistance	Translation elongation factor Tu	PATRIC.562.19188.NSEE01000178.CDS.3.146.fwd	fig|562.19188.peg.4932	100	8e-19
fig|562.19188.peg.13		Virulence Factor	Colanic acid biosynthesis glycosyl transferase WcaE	PATRIC.562.19188.NSEE01000196.CDS.14151.14897.fwd	fig|562.19188.peg.13	97	1e-138
fig|562.19188.peg.4066		Drug Target	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)	PATRIC.562.19188.NSEE01000079.CDS.56818.57459.fwd	fig|562.19188.peg.4066	100	1e-125
fig|562.19188.peg.3132	the prokaryotic molybdopterin-containing oxidoreductase (pmo) family.	Transporter	Anaerobic dimethyl sulfoxide reductase chain A (EC 1.8.5.3), molybdopterin-binding domain	PATRIC.562.19188.NSEE01000202.CDS.33496.35940.fwd	fig|562.19188.peg.3132	99	0.0
fig|562.19188.peg.3357	the p-type atpase (p-atpase) superfamily.	Transporter	Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)	PATRIC.562.19188.NSEE01000129.CDS.20526.22724.fwd	fig|562.19188.peg.3357	98	0.0
fig|562.19188.peg.566		Virulence Factor	Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2)	PATRIC.562.19188.NSEE01000435.CDS.7908.10046.fwd	fig|562.19188.peg.566	99	0.0
fig|562.19188.peg.466	the pts galactitol (gat) family.	Transporter	PTS system, galactitol-specific IIB component (EC 2.7.1.200)	PATRIC.562.19188.NSEE01000003.CDS.5683.5967.rev	fig|562.19188.peg.466	98	9e-48
fig|562.19188.peg.3004		Virulence Factor	Copper-sensing two-component system response regulator CpxR	PATRIC.562.19188.NSEE01000113.CDS.26046.26744.fwd	fig|562.19188.peg.3004	97	1e-126
fig|562.19188.peg.5564	the outer membrane porin (opr) family.	Transporter	Glucuronide transport facilitator UidC	PATRIC.562.19188.NSEE01000273.CDS.90.605.rev	fig|562.19188.peg.5564	100	4e-87
fig|562.19188.peg.4913	the atp-binding cassette (abc) superfamily.	Transporter	Efflux ABC transporter, permease/ATP-binding protein MdlA	PATRIC.562.19188.NSEE01000242.CDS.1674.3446.fwd	fig|562.19188.peg.4913	99	0.0
fig|562.19188.peg.268		Virulence Factor	Fimbrin-like protein FimI	PATRIC.562.19188.NSEE01000100.CDS.913.1452.fwd	fig|562.19188.peg.268	97	1e-98
fig|562.19188.peg.523		Virulence Factor	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	PATRIC.562.19188.NSEE01000175.CDS.789.1799.fwd	fig|562.19188.peg.523	97	1e-169
fig|562.19188.peg.4712	1-Methoxy-2-[2-(2-Methoxy-Ethoxy]-Ethane	Drug Target	Serine acetyltransferase (EC 2.3.1.30)	PATRIC.562.19188.NSEE01000098.CDS.10491.11312.rev	fig|562.19188.peg.4712	86	1e-132
fig|562.19188.peg.841	the inorganic phosphate transporter (pit) family.	Transporter	Low-affinity inorganic phosphate transporter	PATRIC.562.19188.NSEE01000152.CDS.4241.5740.rev	fig|562.19188.peg.841	99	1e-285
fig|562.19188.peg.2791	the cell shape-determining mrebcd (mrebcd) family.	Transporter	Rod shape-determining protein MreD	PATRIC.562.19188.NSEE01000263.CDS.103797.104285.rev	fig|562.19188.peg.2791	100	6e-89
fig|562.19188.peg.2008		Virulence Factor	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	PATRIC.562.19188.NSEE01000208.CDS.1520.4741.fwd	fig|562.19188.peg.2008	99	0.0
fig|562.19188.peg.4394	Uracil	Drug Target	Uracil-DNA glycosylase, family 1 (EC 3.2.2.27)	PATRIC.562.19188.NSEE01000218.CDS.16818.17507.fwd	fig|562.19188.peg.4394	99	1e-135
fig|562.19188.peg.1943		Virulence Factor	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191)	PATRIC.562.19188.NSEE01000138.CDS.38577.39602.fwd	fig|562.19188.peg.1943	95	1e-191
fig|562.19188.peg.2771		Virulence Factor	Stringent starvation protein A	PATRIC.562.19188.NSEE01000263.CDS.82473.83111.rev	fig|562.19188.peg.2771	98	1e-117
fig|562.19188.peg.1922		Virulence Factor	Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1), subgroup 1	PATRIC.562.19188.NSEE01000138.CDS.17560.19077.fwd	fig|562.19188.peg.1922	88	1e-267
fig|562.19188.peg.2601	Phosphoglycolohydroxamic Acid	Drug Target	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	PATRIC.562.19188.NSEE01000063.CDS.28243.29322.fwd	fig|562.19188.peg.2601	100	1e-211
fig|562.19188.peg.2587		Virulence Factor	Transketolase (EC 2.2.1.1)	PATRIC.562.19188.NSEE01000063.CDS.14717.16708.fwd	fig|562.19188.peg.2587	99	0.0
fig|562.19188.peg.5028		Drug Target	Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)	PATRIC.562.19188.NSEE01000230.CDS.7527.9044.fwd	fig|562.19188.peg.5028	88	1e-266
fig|562.19188.peg.3351	the atp-binding cassette (abc) superfamily.	Transporter	Cell-division-associated, ABC-transporter-like signaling protein FtsE	PATRIC.562.19188.NSEE01000129.CDS.16154.16822.rev	fig|562.19188.peg.3351	100	1e-124
fig|562.19188.peg.3925		Drug Target	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)	PATRIC.562.19188.NSEE01000352.CDS.4132.5415.fwd	fig|562.19188.peg.3925	100	1e-247
fig|562.19188.peg.3137	the major facilitator superfamily (mfs).	Transporter	Hypothetical MFS-type transporter protein YcaD	PATRIC.562.19188.NSEE01000202.CDS.38410.39558.fwd	fig|562.19188.peg.3137	99	1e-217
fig|562.19188.peg.445	the yggt or fanciful k(+) uptake-b (fkub; yggt) family.	Transporter	Cell division integral membrane protein, YggT and half-length relatives	PATRIC.562.19188.NSEE01000247.CDS.7727.8293.fwd	fig|562.19188.peg.445	100	1e-102
fig|562.19188.peg.5102	the major facilitator superfamily (mfs).	Transporter	Multidrug efflux system EmrKY-TolC, membrane fusion component EmrK	PATRIC.562.19188.NSEE01000128.CDS.19218.20300.rev	fig|562.19188.peg.5102	99	1e-203
fig|562.19188.peg.2379		Antibiotic Resistance	Multidrug efflux pump MdtL (of MFS type)	PATRIC.562.19188.NSEE01000147.CDS.19766.20941.rev	fig|562.19188.peg.2379	99	1e-218
fig|562.19188.peg.5222	Ndelta-(N'-Sulphodiaminophosphinyl)-L-Ornithine	Drug Target	Ornithine carbamoyltransferase (EC 2.1.3.3)	PATRIC.562.19188.NSEE01000274.CDS.903.1907.rev	fig|562.19188.peg.5222	99	1e-192
fig|562.19188.peg.5312	the k(+) uptake permease (kup) family.	Transporter	Kup system potassium uptake protein	PATRIC.562.19188.NSEE01000265.CDS.8827.10695.rev	fig|562.19188.peg.5312	100	0.0
fig|562.19188.peg.2361		Virulence Factor	Phosphate ABC transporter, permease protein PstC (TC 3.A.1.7.1)	PATRIC.562.19188.NSEE01000147.CDS.2244.3203.fwd	fig|562.19188.peg.2361	90	1e-155
fig|562.19188.peg.1309	3-Methyladenine	Drug Target	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	PATRIC.562.19188.NSEE01000225.CDS.4861.5424.fwd	fig|562.19188.peg.1309	99	1e-109
fig|562.19188.peg.3663		Virulence Factor	Protein RhsB	PATRIC.562.19188.NSEE01000393.CDS.2.268.fwd	fig|562.19188.peg.3663	96	5e-45
fig|562.19188.peg.2007		Virulence Factor	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	PATRIC.562.19188.NSEE01000208.CDS.354.1502.fwd	fig|562.19188.peg.2007	100	1e-224
fig|562.19188.peg.298	the toxic hok/gef protein (hok/gef) family.	Transporter	hypothetical protein	PATRIC.562.19188.NSEE01000096.CDS.146.298.rev	fig|562.19188.peg.298	96	2e-19
fig|562.19188.peg.769	the divalent anion:na(+) symporter (dass) family.	Transporter	Inner membrane protein YbhI	PATRIC.562.19188.NSEE01000181.CDS.29083.30516.rev	fig|562.19188.peg.769	100	1e-277
fig|562.19188.peg.3324		Virulence Factor	GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	PATRIC.562.19188.NSEE01000429.CDS.1.492.fwd	fig|562.19188.peg.3324	86	4e-82
